BARCAŚ	(.|#|)bartsaS(.|#|)
BASNICKA	(.|#|)basJitska(.|#|)
BĚDNY	(.|#|)bjidn1(.|#|)
BLABA	(.|#|)blaba(.|#|)
BLABIŚ	(.|#|)blabiS(.|#|)
BLIŽYŚ	(.|#|)bljiZ1S(.|#|)
BŁUDNY	(.|#|)budn1(.|#|)
BRACH	(.|#|)brax(.|#|)
BRACHOWAŚ	(.|#|)braxoUaS(.|#|)
BRAMBODA	(.|#|)brambOda(.|#|)
BRAŚ	(.|#|)braS(.|#|)
BRICAŚ	(.|#|)brjitsaS(.|#|)
BRICNUŚ	(.|#|)brjitsnuS(.|#|)
BŹEZPÓROCNY	(.|#|)bZEspErOtsn1(.|#|)
CERA	(.|#|)tsEra(.|#|)
CERWJENUČKI	(.|#|)tsErvEnutSkji(.|#|)
CHÓJŹIŚ	(.|#|)xEjiZiS(.|#|)
CYBAŚ	(.|#|)ts1baS(.|#|)
CYNIŚ	(.|#|)ts1JiS(.|#|)
CYSĆENJE	(.|#|)ts1stSeJE(.|#|)
CYSĆIŚ	(.|#|)ts1stSiS(.|#|)
DERIŚ	(.|#|)dErjiS(.|#|)
DERJE	(.|#|)dErjE(.|#|)
DERKOTAŚ	(.|#|)dErkOtaS(.|#|)
DOBRY	(.|#|)dObr1(.|#|)
DOJADNAŚ	(.|#|)dOjadnaS(.|#|)
DOJĚŚ	(.|#|)dOjjiS(.|#|)
DOKRADNJE	(.|#|)dOkradJE(.|#|)
DOKRADNY	(.|#|)dOkradn1(.|#|)
DOMACNY	(.|#|)dOmatsn1(.|#|)
DOMORODNY	(.|#|)dOmOrOdn1(.|#|)
DOPÓRANY	(.|#|)dOpEran1(.|#|)
DRAPAWA	(.|#|)drapaUa(.|#|)
DREBOTAŚ	(.|#|)drEbOtaS(.|#|)
DRJAŽNIŚ	(.|#|)drjaZJiS(.|#|)
DROGA	(.|#|)drOga(.|#|)
FILIALA	(.|#|)filjiala(.|#|)
FUTROWAŚ	(.|#|)futroUaS(.|#|)
GANJANJE	(.|#|)gaJaJE(.|#|)
GARNUŚ	(.|#|)garnuS(.|#|)
GÓRJEJ	(.|#|)gErej(.|#|)
GÓRJEJ	(.|#|)g1rej(.|#|)
